Urban Village/Village,Subdistrict,Regency_City,Province,Longitude,Latitude,Elevation,Slope,Aspect,HillShade,Rainfall,LandCover,NDVI,NDWI,NDVI_Change,LST,PopulationDensity,SoilMoisture,Prediction,GroundTruth
,,Bogor,Jawa Barat,106.864908,-6.515916003,159,2.083807468,296.4168091,186,4368.204619,50,0.141268298,-0.108240396,-0.142652616,307.8833333,2169.933594,24.40625763,,
,,Bogor,Jawa Barat,106.9281765,-6.767210939,1973,33.50300598,211.1407623,232,4408.914301,10,0.01976251,-0.032820787,0.001708589,294.085,1515.770752,25.04787445,,
,,Bogor,Jawa Barat,106.4525659,-6.360083502,66,11.19971466,144.841629,160,3632.70703,10,0.210179314,-0.186515912,-0.157290563,301.7547368,2169.933594,23.28421211,,
,,Bogor,Jawa Barat,106.4694742,-6.463268717,113,6.205400944,153.2885437,172,4313.905398,10,0.193327516,-0.16017963,-0.37618944,302.3432,2169.933838,23.74265099,,
,,Bogor,Jawa Barat,106.8054469,-6.696409034,475,2.084416866,243.591507,186,5203.147095,10,0.206416309,-0.165113598,-0.214083701,301.6663158,2169.933594,24.85558319,,
,,Bogor,Jawa Barat,106.7628514,-6.636849522,410,5.584736824,90,163,5824.370522,10,0.188010097,-0.145163983,-0.146411538,303.1247059,2169.933594,24.52278519,,
,,Bogor,Jawa Barat,106.6588155,-6.595630002,280,9.068305969,335.8959961,192,5145.198772,10,0.154896498,-0.134447023,-0.100220263,302.98,2169.93335,24.59807205,,
,,Bogor,Jawa Barat,106.7350345,-6.631919613,391,5.941873074,128.4723053,166,5427.47884,10,0.192382827,-0.147564992,-0.189669058,302.2741176,2169.933594,24.59807205,,
,,Bogor,Jawa Barat,106.7965942,-6.716069144,539,3.94239521,45.19726181,172,5224.574828,10,0.182927564,-0.157341257,-0.167310998,301.772381,2169.933594,24.85558319,,
,,Bogor,Jawa Barat,106.8385907,-6.508371232,149,4.638148308,322.9521179,189,4388.438897,50,0.048974771,-0.041163489,0.001557607,307.6533333,2169.93335,24.40625763,,
,,Bogor,Jawa Barat,106.8694684,-6.560964349,190,1.315769315,225.1882324,183,4556.907326,10,0.191102266,-0.175565645,-0.189646602,304.9813333,2169.933838,24.40625763,,
,,Bogor,Jawa Barat,106.7832041,-6.681738263,620,5.933421135,38.85044479,169,5889.075563,10,0.152875021,-0.133785695,-0.085507378,300.3615385,2169.933594,24.85558319,,
