Urban Village/Village;Subdistrict;Regency_City;Province;Longitude;Latitude;Elevation;Slope;Aspect;HillShade;Rainfall;LandCover;NDVI;NDWI;NDVI_Change;LST;PopulationDensity;SoilMoisture;Prediction;GroundTruth
Cimande;Caringin;Bogor;Jawa Barat;106,8649080;-6,5159160;159;2,0838;29.641.680.908.203.100;186;4.368.204.618.692.390;50;0.1412682980298996;-0.10824039578437805;-0.14265261590480804;3.078.833.333.333.330;216.993.359.375;2.440.625.762.939.450;;
Leuwinutug;Citeureup;Bogor;Jawa Barat;10.692.817.648.874.800;-676.721.093.871.382;19343673;3.350.300.598.144.530;21.114.076.232.910.100;232;4.408.914.300.560.950;10;0.019762510433793068;-0.03282078728079796;0.001708589494228363;294.085;1.515.770.751.953.120;25.047.874.450.683.500;;
Singabraja;Tenjo;Bogor;Jawa Barat;10.645.256.588.026.200;-63.600.835.019.855.600;66;11.199.714.660.644.500;1.448.416.290.283.200;160;363.270.702.958.107;10;0.21017931401729584;-0.1865159124135971;-0.15729056298732758;3.017.547.368.421.050;216.993.359.375;23.284.212.112.426.700;;
Setu;Jasinga;Bogor;Jawa Barat;10.646.947.424.816.800;-6.463.268.716.834.630;113;62.054.009.437.561.000;15.328.854.370.117.100;172;4.313.905.397.891.990;10;0.19332751631736755;-0.16017962992191315;-0.3761894404888153;3.023.432;2.169.933.837.890.620;23.742.650.985.717.700;;
Cipelang;Cijeruk;Bogor;Jawa Barat;10.680.544.688.719.200;-6.696.409.034.204.290;475;20.844.168.663.024.900;2.435.915.069.580.070;186;5.203.147.094.845.770;10;0.2064163088798523;-0.16511359810829163;-0.2140837013721466;3.016.663.157.894.730;216.993.359.375;2.485.558.319.091.790;;
Pasireurih;Taman Sari;Bogor;Jawa Barat;10.676.285.141.318.100;-663.684.952.234.557;410;55.847.368.240.356.400;90.0;163;58.243.705.224.990.800;10;0.1880100965499878;-0.14516398310661316;-0.14641153812408447;30.312.470.588.235.200;216.993.359.375;24.522.785.186.767.500;;
Sukamaju;Cibungbulang;Bogor;Jawa Barat;10.665.881.554.510.000;-6.595.630.001.676.330;280;9.068.305.969.238.280;33.589.599.609.375;192;5.145.198.772.192.000;10;0.15489649772644043;-0.13444702327251434;-0.10022026300430298;302.98;2.169.933.349.609.370;24.598.072.052.001.900;;
Sukadamai;Dramaga;Bogor;Jawa Barat;10.673.503.452.592.900;-6.631.919.612.755.760;391;5.941.873.073.577.880;12.847.230.529.785.100;166;5.427.478.839.993.470;10;0.1923828274011612;-0.14756499230861664;-0.18966905772686005;3.022.741.176.470.580;216.993.359.375;24.598.072.052.001.900;;
Cigombong;Cirayut;Bogor;Jawa Barat;1.067.965.942.016.360;-6.716.069.144.202.280;539;39.423.952.102.661.100;45.197.261.810.302.700;172;5.224.574.828.028.670;10;0.18292756378650665;-0.15734125673770905;-0.16731099784374237;30.177.238.095.238.000;216.993.359.375;2.485.558.319.091.790;;
Cibinong;Nanggewer;Bogor;Jawa Barat;10.683.859.066.372.800;-6.508.371.231.935.510;149;4.638.148.307.800.290;3.229.521.179.199.210;189;4.388.438.896.775.240;50;0.04897477105259895;-0.04116348922252655;0.0015576072037220001;3.076.533.333.333.330;2.169.933.349.609.370;2.440.625.762.939.450;;
Babakan Madang;Babakan Madang;Bogor;Jawa Barat;10.686.946.841.618.600;-6.560.964.348.965.470;190;13.157.693.147.659.300;225.188.232.421.875;183;4.556.907.326.459.880;10;0.1911022663116455;-0.17556564509868622;-0.18964660167694092;30.498.133.333.333.300;2.169.933.837.890.620;2.440.625.762.939.450;;
Tanjung Sari;Cijeruk;Bogor;Jawa Barat;10.678.320.410.945.700;-6.681.738.263.198.660;620;59.334.211.349.487.300;3.885.044.479.370.110;169;5.889.075.563.192.360;10;0.15287502110004425;-0.1337856948375702;-0.08550737798213959;3.003.615.384.615.380;216.993.359.375;2.485.558.319.091.790;;
Sibanteng;Leuwisadeng;Bogor;Jawa Barat;10.660.580.039.991.000;-6.551.542.446.943.070;240;12.776.390.075.683.500;6.908.795.166.015.620;143;5.065.836.216.688.150;10;0.2122863084077835;-0.17851749062538147;-0.12141023576259613;3.010.832;216.993.359.375;24.285.863.876.342.700;;
Harapan Jaya;Cibinong;Bogor;Jawa Barat;10.682.920.752.187.600;-6.466.662.958.658.490;118;2.798.063.039.779.660;90.0;172;4.371.571.661.949.150;10;0.12270854413509369;-0.11039090901613235;-0.10266026854515076;30.713.866.666.666.600;216.993.359.375;24.146.255.493.164.000;;
Babakan;Tenjo;Bogor;Jawa Barat;1.064.617.923.531.440;-6.347.114.645.350.100;62;9.104.387.283.325.190;24.616.798.400.878.900;206;35.103.647.340.536.100;30;0.1471410095691681;-0.12561452388763428;-0.1661321520805359;3.030.075;2.169.933.837.890.620;23.158.239.364.624.000;;
Parakan Jaya;Kemang;Bogor;Jawa Barat;10.676.164.744.630.200;-6.524.335.986.967.260;158;3.355.381.965.637.200;3.035.184.631.347.650;189;5.124.675.341.665.740;50;0.07824317365884781;-0.06307928264141083;-0.0574684664607048;30.616.470.588.235.200;216.993.359.375;2.440.625.762.939.450;;
Cibunian;Pamijahan;Bogor;Jawa Barat;10.662.675.006.389.500;-6.678.691.251.663.360;538;9.977.749.824.523.920;30.351.025.390.625;206;5.168.976.742.267.600;10;0.22860175371170044;-0.19184814393520355;-0.12934479117393494;29.950.083.333.333.300;216.993.359.375;25.115.137.100.219.700;;
Dramaga;Dramaga;Bogor;Jawa Barat;1.067.371.188.141.260;-6.571.249.524.911.700;193;5.401.585.578.918.450;3.288.693.542.480.460;189;5.483.161.243.081.090;50;0.08900042623281479;-0.08651546388864517;-0.061128683388233185;3.063.846.153.846.150;2.169.933.349.609.370;24.522.785.186.767.500;;
Barengkok;Jasinga;Bogor;Jawa Barat;10.647.569.104.089.700;-6.428.969.442.198.130;67;29.322.826.862.335.200;3.414.563.293.457.030;183;4.006.162.138.938.900;10;0.20153987407684326;-0.17004859447479248;-0.27758538722991943;3.021.225;216.993.359.375;23.742.650.985.717.700;;
Bagoang;Jasinga;Bogor;Jawa Barat;10.644.471.492.675.700;-6.421.770.939.433.700;41;46.378.607.749.938.900;14.295.684.814.453.100;172;40.167.433.154.582.900;10;0.22065597772598267;-0.17342518270015717;-0.13248303532600403;30.116.583.333.333.300;4.327.481.384.277.340;24.011.669.158.935.500;;
Karihkil;Ciseeng;Bogor;Jawa Barat;10.668.071.823.929.700;-650.234.252.888.918;127;2.629.998.207.092.280;31.481.512.451.171.800;186;5.034.142.324.209.210;10;0.1579955816268921;-0.14084453880786896;-0.15274813771247864;302.766;2.169.933.349.609.370;24.285.863.876.342.700;;
Warung Menteng;Cijeruk;Bogor;Jawa Barat;1.068.006.763.590.490;-6.703.405.977.935.940;482;13.159.607.648.849.400;13.480.348.205.566.400;177;4.610.852.992.415.420;10;0.20617225766181946;-0.1544271856546402;-0.16056808829307556;30.200.952.380.952.300;2.169.933.349.609.370;2.485.558.319.091.790;;
Tajur;Citeureup;Bogor;Jawa Barat;10.693.612.250.829.700;-655.674.726.354.408;251;1.866.533.875.465.390;90.0;174;4.307.002.587.556.830;50;0.13177213072776794;-0.11581739038228989;-0.1289309561252594;3.024.642.105.263.150;216.993.359.375;24.449.819.564.819.300;;
Puraseda;Leuwiliang;Bogor;Jawa Barat;10.659.052.214.387.100;-6.649.212.500.735.550;726;1.313.082.218.170.160;2.579.842.224.121.090;220;5.135.607.488.870.620;10;0.17473764717578888;-0.13519848883152008;0.001798585057258606;29.917.157.894.736.800;216.993.359.375;24.681.560.516.357.400;;
Sukawangi;Sukamakmur;Bogor;Jawa Barat;107.025.667.538.517;-6.646.633.287.186.470;1003;17.319.591.522.216.700;28.057.353.973.388.600;155;4.463.908.442.854.880;10;0.073768250644207;-0.06779620051383972;-0.053907282650470734;29.844.823.529.411.700;216.993.359.375;24.707.237.243.652.300;;
Leuwikaret;Klapanunggal;Bogor;Jawa Barat;10.694.310.164.369.600;-649.546.976.959.213;183;20.837.390.422.821.000;63.582.244.873.046.800;174;3.902.867.429.435.250;10;0.25382909178733826;-0.19750219583511353;-0.16573888063430786;3.023.272.727.272.720;216.993.359.375;24.449.819.564.819.300;;
Mekarwangi;Cariu;Bogor;Jawa Barat;10.711.208.956.225.000;-6.518.339.877.694.110;122;0.9274099469184875;-0.0;180;35.597.336.431.741.700;40;0.11892307549715042;-0.09483145922422409;-0.10555291920900345;3.032.539.130.434.780;216.993.359.375;24.334.423.065.185.500;;
Buanajaya;Tanjungsari;Bogor;Jawa Barat;10.718.327.414.908.300;-661.035.572.739.331;362;26.512.351.989.746.000;13.218.851.089.477.500;162;4.167.567.222.476.000;10;0.2381606549024582;-0.19283895194530487;-0.2249862402677536;30.072.076.923.076.900;216.993.359.375;24.568.544.387.817.300;;
Pondok Udik;Kemang;Bogor;Jawa Barat;10.672.547.504.946.600;-6.483.562.969.203.060;125;208.370.041.847.229;2.435.817.108.154.290;186;5.285.347.621.798.510;10;0.14782564342021942;-0.11577845364809036;-0.18196509778499603;30.599.066.666.666.600;2.169.933.837.890.620;24.285.863.876.342.700;;
;;Bogor;Jawa Barat;10.694.923.938.617.600;-6.587.313.263.498.450;451;16.013.492.584.228.500;16.492.557.525.634.700;166;4.307.002.587.556.830;10;0.1401534378528595;-0.12631313502788544;-0.1231745183467865;300.595;2.169.933.837.890.620;24.993.913.650.512.600;;
;;Bogor;Jawa Barat;1.069.212.206.247.310;-64.622.593.456.891.700;74;18.661.830.425.262.400;270.0;186;3.902.867.429.435.250;40;0.09594177454710007;-0.07603415846824646;-0.08600880950689316;305.785;2.169.933.837.890.620;23.971.342.086.791.900;;
;;Bogor;Jawa Barat;10.706.891.712.155.600;-6.570.395.118.922.280;442;11.069.945.335.388.100;13.144.613.647.460.900;154;40.680.464.820.861.800;10;0.24247847497463226;-0.19293241202831268;-0.017512544989585876;30.106.222.222.222.200;216.993.359.375;24.707.237.243.652.300;;
;;Bogor;Jawa Barat;10.698.979.995.743.000;-6.443.202.620.362.500;77;4.747.308.731.079.100;7.875.968.170.166.010;166;33.363.241.298.794.700;50;0.11089751124382019;-0.08491809666156769;-0.09181500971317291;306.08;2.169.933.837.890.620;23.971.342.086.791.900;;
